index,venue_id,venue_name,a.team_name,a.team_code,b.team_name,b.team_code,home_team_code
1,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Bendigo,BEN,ALB
2,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Bendigo,BEN,
3,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Bendigo,BEN,
4,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Bendigo,BEN,
5,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Frankston,FRA,
6,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Frankston,FRA,
7,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Eltham,ELT,
8,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Eltham,ELT,
9,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Dandenong,DAN,
10,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Dandenong,DAN,
11,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Knox,KNX,
12,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Knox,KNX,
13,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Ringwood,RIN,
14,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Ringwood,RIN,
15,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Diamond Valley,DIV,
16,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Diamond Valley,DIV,
17,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,BA COE,COE,
18,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,BA COE,COE,
19,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Ballarat,BLM,
20,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Ballarat,BLR,
21,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Kilsyth,KIL,
22,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Kilsyth,KIL,
23,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Nunawading,NUN,
24,1858,Lauren Jackson Sports Centre,Albury Wodonga,ALB,Nunawading,NUN,
25,1867,Bendigo Stadium,Albury Wodonga,ALB,Bendigo,BEN,BEN
26,1867,Bendigo Stadium,Bendigo,BEN,Diamond Valley,DIV,
27,1867,Bendigo Stadium,Bendigo,BEN,Diamond Valley,DIV,
28,1867,Bendigo Stadium,Bendigo,BEN,Albury Wodonga,ALB,
29,1867,Bendigo Stadium,Bendigo,BEN,BA COE,COE,
30,1867,Bendigo Stadium,Bendigo,BEN,BA COE,COE,
31,1867,Bendigo Stadium,Bendigo,BEN,Geelong,GEE,
32,1867,Bendigo Stadium,Bendigo,BEN,Geelong,GEE,
33,1867,Bendigo Stadium,Bendigo,BEN,Waverley,WAV,
34,1867,Bendigo Stadium,Bendigo,BEN,Waverley,WAV,
35,1867,Bendigo Stadium,Bendigo,BEN,Southern,SAN,
36,1867,Bendigo Stadium,Bendigo,BEN,Southern,SAN,
37,1867,Bendigo Stadium,Ballarat,BLM,Bendigo,BEN,
38,1867,Bendigo Stadium,Ballarat,BLR,Bendigo,BEN,
39,1867,Bendigo Stadium,Frankston,FRA,Bendigo,BEN,
40,1867,Bendigo Stadium,Frankston,FRA,Bendigo,BEN,
41,1867,Bendigo Stadium,Hobart,HOB,Bendigo,BEN,
42,1867,Bendigo Stadium,Launceston,LAU,Bendigo,BEN,
43,1867,Bendigo Stadium,NW Tasmania,NWT,Bendigo,BEN,
44,1867,Bendigo Stadium,Hobart,SOU,Bendigo,BEN,
45,1889,Frankston Basketball Stadium,Ballarat,BLM,Frankston,FRA,FRA
46,1889,Frankston Basketball Stadium,Ballarat,BLR,Frankston,FRA,
47,1889,Frankston Basketball Stadium,Eltham,ELT,Frankston,FRA,
48,1889,Frankston Basketball Stadium,Eltham,ELT,Frankston,FRA,
49,1889,Frankston Basketball Stadium,Frankston,FRA,Southern,SAN,
50,1889,Frankston Basketball Stadium,Frankston,FRA,Southern,SAN,
51,1889,Frankston Basketball Stadium,Frankston,FRA,Melbourne,MEL,
52,1889,Frankston Basketball Stadium,Frankston,FRA,Melbourne,MEL,
53,1889,Frankston Basketball Stadium,Frankston,FRA,Dandenong,DAN,
54,1889,Frankston Basketball Stadium,Frankston,FRA,Dandenong,DAN,
55,1889,Frankston Basketball Stadium,Frankston,FRA,Knox,KNX,
56,1889,Frankston Basketball Stadium,Frankston,FRA,Knox,KNX,
57,1889,Frankston Basketball Stadium,Geelong,GEE,Frankston,FRA,
58,1889,Frankston Basketball Stadium,Geelong,GEE,Frankston,FRA,
59,1889,Frankston Basketball Stadium,Hobart,HOB,Frankston,FRA,
60,1889,Frankston Basketball Stadium,Launceston,LAU,Frankston,FRA,
61,1889,Frankston Basketball Stadium,NW Tasmania,NWT,Frankston,FRA,
62,1889,Frankston Basketball Stadium,Hobart,SOU,Frankston,FRA,
63,1899,Keilor Basketball Stadium,Launceston,LAU,BA COE,COE,ZZZ
64,1899,Keilor Basketball Stadium,NW Tasmania,NWT,BA COE,COE,
65,1900,Kilsyth Sports Centre,Bendigo,BEN,Kilsyth,KIL,KIL
66,1900,Kilsyth Sports Centre,Bendigo,BEN,Kilsyth,KIL,
67,1900,Kilsyth Sports Centre,Ballarat,BLM,Kilsyth,KIL,
68,1900,Kilsyth Sports Centre,Ballarat,BLR,Kilsyth,KIL,
