VENUE_CODE,VENUE_NAME
BALL,Ballarat Sports Events Centre
BEND,Bendigo Stadium
DIAM,Diamond Valley Sports & Fitness Centre
CREEK,Creek Road Stadium
DAND,Dandenong Basketball Stadium
ELPH,"Elphin Stadium, Launceston"
ELTH,Eltham High School 
FRNK,Frankston Basketball Stadium
GEEL,Geelong Arena 
KILS,Kilsyth Sports Centre
KING,"Kingborough Basketball Stadium, Kingston"
LSC,"Lauren Jackson Sports Centre, Albury"
NSC,Norwood Secondary College
MSAC,Melbourne Sports & Aquatic Centre
NUNA,Nunawading Basketball Centre
RING,"The Rings, Ringwood"
SBC,"SBC State Basketball Centre, Wantirna South"
SBA,"Southern Basketball Association, Cheltenham"
OBC,OBC Stadium
WAV,Waverley Basketball Centre
