ROUND,DATE,HOME TEAM,VISITOR,WOMEN,MEN,VENUE
9,Fri 19 Jun,Bendigo Braves,Nunawading Spectres,6:00pm,8:00pm,BEND
9,Sat 20 Jun,Albury Wodonga Bandits,Diamond Valley Eagles,6:00pm,8:00pm,LJSC
9,Sat 20 Jun,Ballarat Rush/Miners,Sandringham Sabres,6:00pm,8:00pm,BALL
9,Sat 20 Jun,Dandenong Rangers,Waverley Falcons,6:00pm,8:00pm,DAND
9,Sat 20 Jun,Frankston Blues,Eltham Wildcats,5:30pm,7:30pm,FRNK
9,Sat 20 Jun,Knox Raiders,Melbourne Tigers,5:30pm,7:30pm,SBC
9,Sat 20 Jun,Launceston/NW Thunder,Hobart Chargers,6:30pm,7:30pm,ELPH/OBC
9,Sat 20 Jun,Mt Gambier Pioneers,Kilsyth Cobras,6:30pm,8:30pm,ICE
9,Sat 20 Jun,Ringwood Hawks,Geelong Supercats,6:00pm,8:00pm,RING
9,Sun 21 Jun,Melbourne Tigers,Waverley Falcons,12:30pm,2:30pm,MSAC
9,Sun 21 Jun,Nunawading Spectres,Knox Raiders,1:30pm,3:30pm,NUNA
13,Fri 17 Jul,Hobart Chargers,Bendigo Braves,6:00pm,8:00pm,CREEK
13,Sat 18 Jul,Albury Wodonga Bandits,Ballarat Rush/Miners,6:00pm,8:00pm,LJSC
13,Sat 18 Jul,Dandenong Rangers,Sandringham Sabres,6:00pm,8:00pm,DAND
13,Sat 18 Jul,Geelong Supercats,Waverley Falcons,5:00pm,7:00pm,GEEL
13,Sat 18 Jul,Knox Raiders,Frankston Blues,5:30pm,7:30pm,SBC
13,Sat 18 Jul,Launceston/NW Thunder,Bendigo Braves,6:30pm,7:30pm,ELPH/OBC
13,Sat 18 Jul,Mt Gambier Pioneers,Melbourne Tigers,6:30pm,8:30pm,ICE
13,Sat 18 Jul,Nunawading Spectres,Eltham Wildcats,5:30pm,7:30pm,NUNA
13,Sat 18 Jul,Ringwood Hawks,Diamond Valley Eagles,6:00pm,8:00pm,RING
13,Sun 19 Jul,Frankston Blues,Albury Wodonga Bandits,12:30pm,2:30pm,FRNK
13,Sun 19 Jul,Kilsyth Cobras,Diamond Valley Eagles,12:00pm,2:00pm,KILS
13,Sun 19 Jul,Waverley Falcons,Eltham Wildcats,12:00pm,2:00pm,WAV
