ROUND,DATE,HOME TEAM,VISITOR,WOMEN,MEN,VENUE
10,Fri 26 Jun,Hobart Chargers,Diamond Valley Eagles,6:00pm,8:00pm,CREEK
10,Sat 27 Jun,Ballarat Rush/Miners,Knox Raiders,6:00pm,8:00pm,BALL
10,Sat 27 Jun,Eltham Wildcats,Geelong Supercats,6:00pm,8:00pm,ELTH
10,Sat 27 Jun,Frankston Blues,Bendigo Braves,5:30pm,7:30pm,FRNK
10,Sat 27 Jun,Kilsyth Cobras,Sandringham Sabres,5:30pm,7:30pm,KILS
10,Sat 27 Jun,Launceston/NW Thunder,Diamond Valley Eagles,6:30pm,7:30pm,ELPH/OBC
10,Sat 27 Jun,Mt Gambier Pioneers,Dandenong Rangers,6:30pm,8:30pm,ICE
10,Sat 27 Jun,Nunawading Spectres,Albury Wodonga Bandits,5:30pm,7:30pm,NUNA
10,Sun 28 Jun,Bendigo Braves,Ringwood Hawks ,12:00pm,2:00pm,BEND
10,Sun 28 Jun,Sandringham Sabres,Melbourne Tigers ,12:30pm,2:30pm,SBA
10,Sun 28 Jun,Waverley Falcons,Albury Wodonga Bandits ,12:00pm,2:00pm,WAV
11,Wed 1 Jul,Ballarat Rush/Miners,Geelong Supercats FINAL,6:00pm,8:00pm,BALL
11,Wed 1 Jul,Ringwood Hawks,Knox Raiders,6:00pm,8:00pm,NSC
11,Fri 3 Jul,Eltham Wildcats,Albury Wodonga Bandits,6:00pm,8:00pm,ELTH
11,Fri 3 Jul,Hobart Chargers,Nunawading Spectres,6:00pm,8:00pm,CREEK
11,Sat 4 Jul,Diamond Valley Eagles,Ballarat Rush/Miners,6:00pm,8:00pm,DIAM
11,Sat 4 Jul,Frankston Blues,Ringwood Hawks,5:30pm,7:30pm,FRNK
11,Sat 4 Jul,Geelong Supercats,Bendigo Braves,5:00pm,7:00pm,GEEL
11,Sat 4 Jul,Kilsyth Cobras,Dandenong Rangers,5:30pm,7:30pm,KILS
11,Sat 4 Jul,Knox Raiders,Sandringham Sabres,5:30pm,7:30pm,SBC
11,Sat 4 Jul,Launceston/NW Thunder,Nunawading Spectres,6:00pm,8:00pm,ELPH
11,Sat 4 Jul,Mt Gambier Pioneers,Albury Wodonga Bandits,6:30pm,8:30pm,ICE
11,Sun 5 Jul,Dandenong Rangers,Bendigo Braves ,12:00pm,2:00pm,DAND
11,Sun 5 Jul,Ringwood Hawks,Kilsyth Cobras ,12:00pm,2:00pm,RING
11,Sun 5 Jul,Sandringham Sabres,Diamond Valley Eagles ,12:30pm,2:30pm,SBA
11,Sun 5 Jul,Waverley Falcons,Melbourne Tigers ,12:00pm,2:00pm,WAV
12,Fri 10 Jul,Geelong Supercats,Mt Gambier Pioneers,6:00pm,8:00pm,GEEL
12,Fri 10 Jul,Ringwood Hawks,Dandenong Rangers,6:00pm,8:00pm,NSC
12,Sat 11 Jul,Albury Wodonga Bandits,Hobart Chargers,6:00pm,8:00pm,LJSC
12,Sat 11 Jul,Ballarat Rush/Miners,Bendigo Braves,6:00pm,8:00pm,BALL
12,Sat 11 Jul,Diamond Valley Eagles,Frankston Blues,6:00pm,8:00pm,DIAM
12,Sat 11 Jul,Eltham Wildcats,Melbourne Tigers,6:00pm,8:00pm,ELTH
12,Sat 11 Jul,Kilsyth Cobras,Waverley Falcons,5:30pm,7:30pm,KILS
12,Sat 11 Jul,Knox Raiders,Launceston/NW Thunder,5:30pm,7:30pm,SBC
