"","thisround","game_time","game_number","venue_id","venue_name","gender","home_team_idx","home.team_name","away.team_name","home.score","away.score","home.team_code","away.team_code","home.logo","away.logo","home.q1","away.q1","home.q2","away.q2","home.q3","away.q3","home.q4","away.q4","home.uid","away.uid","margin"
"1",1,"2019-03-31 15:00:00",22,21406,"MSAC","MALE","b","Melbourne","Bendigo",69,73,"MEL","BEN","melbourne-tigers","bendigo-braves",20,26,18,19,17,20,14,8,"21406.MEL","21406.BEN",-4
"2",1,"2019-03-31 14:30:00",24,21407,"Waverley Basketball Centre","MALE","b","Waverley","Albury Wodonga",77,80,"WAV","ALB","waverley-falcons","albury-wodonga-bandits",18,19,18,22,18,19,23,20,"21407.WAV","21407.ALB",-3
"3",1,"2019-03-31 14:00:00",20,1900,"Kilsyth Sports Centre","MALE","a","Kilsyth","BA COE",93,88,"KIL","COE","kilsyth-cobras","basketball-australia-centre-of-excellence",30,27,24,19,18,23,21,19,"1900.KIL","1900.COE",5
"4",1,"2019-03-31 13:00:00",21,21406,"MSAC","FEMALE","b","Melbourne","Bendigo",65,78,"MEL","BEN","melbourne-tigers","bendigo-braves",14,22,15,24,21,23,15,9,"21406.MEL","21406.BEN",-13
"5",1,"2019-03-31 12:30:00",23,21407,"Waverley Basketball Centre","FEMALE","b","Waverley","Albury Wodonga",58,64,"WAV","ALB","waverley-falcons","albury-wodonga-bandits",18,20,15,15,15,18,10,11,"21407.WAV","21407.ALB",-6
"6",1,"2019-03-31 12:00:00",19,1900,"Kilsyth Sports Centre","FEMALE","a","Kilsyth","BA COE",76,56,"KIL","COE","kilsyth-cobras","basketball-australia-centre-of-excellence",18,14,15,18,22,12,21,12,"1900.KIL","1900.COE",20
"7",1,"2019-03-30 20:00:00",18,21405,"The Rings","MALE","b","Ringwood","BA COE",105,94,"RIN","COE","ringwood-hawks","basketball-australia-centre-of-excellence",28,21,23,26,26,25,28,22,"21405.RIN","21405.COE",11
"8",1,"2019-03-30 20:00:00",12,1946,"State Basketball Centre","MALE","b","Knox","Kilsyth",67,70,"KNX","KIL","knox-basketball","kilsyth-cobras",18,10,15,23,20,24,14,13,"1946.KNX","1946.KIL",-3
"9",1,"2019-03-30 19:30:00",10,1889,"Frankston Basketball Stadium","MALE","b","Frankston","Waverley",99,107,"FRA","WAV","frankston-blues","waverley-falcons",21,24,25,17,22,36,31,30,"1889.FRA","1889.WAV",-8
"10",1,"2019-03-30 19:30:00",8,21410,"DV Sports &amp; Fitness Centre","MALE","a","Diamond Valley","Eltham",86,92,"DIV","ELT","diamond-valley-eagles","eltham-wildcats",29,21,21,18,19,25,12,17,"21410.DIV","21410.ELT",-6
"11",1,"2019-03-30 19:30:00",15,21411,"Ulverstone/Elphin","FEMALE","a","Launceston","Southern",64,70,"LAU","SAN","launceston-tornadoes","southern-sabres",18,27,17,16,15,15,14,12,"21411.LAU","21411.SAN",-6
"12",1,"2019-03-30 19:30:00",16,21411,"Ulverstone/Elphin","MALE","a","NW Tasmania","Southern",96,63,"NWT","SAN","north-west-thunder","southern-sabres",26,21,29,14,20,18,21,10,"21411.NWT","21411.SAN",33
"13",1,"2019-03-30 19:30:00",14,21412,"Nunawading Basketball Centre","MALE","b","Nunawading","Ballarat",87,94,"NUN","BLM","nunawading-spectres","ballarat-rush-miners",14,24,31,16,21,27,21,27,"21412.NUN","21412.BLM",-7
"14",1,"2019-03-30 18:00:00",17,21405,"The Rings","FEMALE","b","Ringwood","BA COE",83,72,"RIN","COE","ringwood-hawks","basketball-australia-centre-of-excellence",16,21,16,19,20,22,17,7,"21405.RIN","21405.COE",11
"15",1,"2019-03-30 18:00:00",11,1946,"State Basketball Centre","FEMALE","b","Knox","Kilsyth",86,79,"KNX","KIL","knox-basketball","kilsyth-cobras",20,21,26,15,13,12,27,31,"1946.KNX","1946.KIL",7
"16",1,"2019-03-30 17:30:00",7,21410,"DV Sports &amp; Fitness Centre","FEMALE","a","Diamond Valley","Eltham",78,82,"DIV","ELT","diamond-valley-eagles","eltham-wildcats",17,19,24,17,16,23,21,23,"21410.DIV","21410.ELT",-4
