"","position","teamId","sGames","sWins","sLosses","sWinsAverage","sPoints","sPointsAgainst","competitionId","clubName","image","pointAverage","season","winPrice","sPointsAverage","nextGame","gender"
"1",1,9247,20,16,4,80,1804,1524,23703,"BALLARAT","https://img.wh.sportingpulseinternational.com/c470278630df33f6a7b85f0b20dcc2c6S1.png","118.3727","2019",NA,118.3,NA,"MALE"
"2",2,9249,20,14,6,70,1884,1757,23703,"FRANKSTON","https://img.wh.sportingpulseinternational.com/4c8534a28058479e2c22fb4d7e10bcd9S1.png","107.2282","2019",NA,107.2,NA,"MALE"
"3",3,9285,20,14,6,70,1855,1691,23703,"NUNAWADING","https://img.wh.sportingpulseinternational.com/766545e83619162b9b69961c539a7820S1.jpg","109.6984","2019",NA,109.7,NA,"MALE"
"4",4,9271,20,12,8,60,1716,1682,23703,"KILSYTH","https://img.wh.sportingpulseinternational.com/24b29de71a3ab4676873d98a7611497bS1.png","102.0214","2019",NA,102,NA,"MALE"
"5",5,9276,20,12,8,60,1737,1689,23703,"MELBOURNE","https://img.wh.sportingpulseinternational.com/1214203119ba31559a1eb56c640a5c77S1.jpg","102.8419","2019",NA,102.8,NA,"MALE"
"6",6,9263,20,12,8,60,1616,1595,23703,"GEELONG","https://img.wh.sportingpulseinternational.com/eebc1cc6c95408e7dca568355811e490S1.jpg","101.3166","2019",NA,101.3,NA,"MALE"
"7",7,9258,20,11,9,55,1833,1760,23703,"DANDENONG","https://img.wh.sportingpulseinternational.com/e47940c3c154b78cfbdb73609f1e4014S1.jpg","104.1477","2019",NA,104.1,NA,"MALE"
"8",8,9250,20,11,9,55,1690,1650,23703,"BENDIGO","https://img.wh.sportingpulseinternational.com/d72386e323555c9cd8ebf105eb54e1feS1.png","102.4242","2019",NA,102.4,NA,"MALE"
"9",9,110786,20,10,10,50,1743,1766,23703,"HOBART","https://img.wh.sportingpulseinternational.com/19e8e1767d41ebdb0bbce3dedf80e70aS1.png","98.6976","2019",NA,98.7,NA,"MALE"
"10",10,110789,20,10,10,50,1766,1802,23703,"WAVERLEY","https://img.wh.sportingpulseinternational.com/94aa21385de66a17680b9b747275c865S1.png","98.0022","2019",NA,98,NA,"MALE"
"11",11,90017,20,9,11,45,1726,1762,23703,"DIAMOND VALLEY","https://img.wh.sportingpulseinternational.com/0a266624e95da9e193c255ce31b9f39bS1.png","97.9569","2019",NA,97.9,NA,"MALE"
"12",12,9272,20,8,12,40,1622,1683,23703,"KNOX","https://img.wh.sportingpulseinternational.com/5124acfac82a0481bebe3ede51451f67S1.png","96.3755","2019",NA,96.3,NA,"MALE"
"13",13,9347,20,8,12,40,1661,1737,23703,"BA COE","https://img.wh.sportingpulseinternational.com/3c9afaab44aa2343505a262bf3b1b6d7S1.png","95.6246","2019",NA,95.6,NA,"MALE"
"14",14,9286,20,8,12,40,1698,1759,23703,"N W TASMANIA","https://img.wh.sportingpulseinternational.com/e5c3ee30fdd4766d795382511775d981S1.png","96.5321","2019",NA,96.5,NA,"MALE"
"15",15,9246,20,8,12,40,1855,1913,23703,"ALBURY/WODONGA","https://img.wh.sportingpulseinternational.com/3b8d445a0b8fcd59c593afa162d695a8S1.png","96.9681","2019",NA,96.9,NA,"MALE"
"16",16,110787,20,6,14,30,1709,1810,23703,"ELTHAM","https://img.wh.sportingpulseinternational.com/42c821bcc4816d0a9c2dd8232c866048S1.jpg","94.4199","2019",NA,94.4,NA,"MALE"
"17",17,110788,20,6,14,30,1808,1907,23703,"RINGWOOD","https://img.wh.sportingpulseinternational.com/a1d49165fdf895c5f3e25848dba3f0a4S1.png","94.8086","2019",NA,94.8,NA,"MALE"
"18",18,9291,20,5,15,25,1741,1977,23703,"SANDRINGHAM","https://img.wh.sportingpulseinternational.com/c7a4a3a4093b3ae63bd696326bc9c1c9S1.jpg","88.0627","2019",NA,88,NA,"MALE"
"19",1,9311,20,19,1,95,1683,1359,23704,"BENDIGO","https://img.wh.sportingpulseinternational.com/b365d15fa6c475415bdb78e5a40cce36S1.png","123.8411","2019",NA,123.8,NA,"FEMALE"
"20",2,9317,20,17,3,85,1645,1324,23704,"GEELONG","https://img.wh.sportingpulseinternational.com/b3b29821a1ee7f0316e634bdf9376d5aS1.jpg","124.2447","2019",NA,124.2,NA,"FEMALE"
"21",3,110793,20,15,5,75,1507,1427,23704,"RINGWOOD","https://img.wh.sportingpulseinternational.com/932d03cd8aea8c9c93e1f697de1bf7a4S1.png","105.6062","2019",NA,105.6,NA,"FEMALE"
"22",4,9324,20,14,6,70,1564,1314,23704,"KILSYTH","https://img.wh.sportingpulseinternational.com/f069ecee33b785af1e635b2d02dca6cfS1.png","119.0259","2019",NA,119,NA,"FEMALE"
"23",5,9325,20,14,6,70,1700,1548,23704,"KNOX","https://img.wh.sportingpulseinternational.com/0587f726139968f3f69f4a0a39ff59b0S1.png","109.8191","2019",NA,109.8,NA,"FEMALE"
"24",6,9332,20,12,8,60,1591,1473,23704,"NUNAWADING","https://img.wh.sportingpulseinternational.com/6e719eb811dede18009761b0b808da4dS1.jpg","108.0109","2019",NA,108,NA,"FEMALE"
"25",7,110795,20,11,9,55,1488,1428,23704,"WAVERLEY","https://img.wh.sportingpulseinternational.com/f82c87e703141da2790a18d27b090629S1.png","104.2017","2019",NA,104.2,NA,"FEMALE"
"26",8,9315,20,11,9,55,1517,1433,23704,"DANDENONG","https://img.wh.sportingpulseinternational.com/496a009bc972fbeb4f7ab80ea5a17dd2S1.jpg","104.2630","2019",NA,105.8,NA,"FEMALE"
"27",9,110794,20,10,10,50,1572,1624,23704,"ELTHAM","https://img.wh.sportingpulseinternational.com/3f968b104b509bb168f2e8fbd286b3a2S1.jpg","96.7980","2019",NA,96.8,NA,"FEMALE"
"28",10,9307,20,9,11,45,1553,1595,23704,"ALBURY/WODONGA","https://img.wh.sportingpulseinternational.com/b593f9ee8920abad4a0ebfec0fb7580cS1.png","97.3668","2019",NA,97.3,NA,"FEMALE"
"29",11,9310,20,9,11,45,1637,1643,23704,"FRANKSTON","https://img.wh.sportingpulseinternational.com/c0c074effd6eda09c03bc6d2a613f3b8S1.png","99.6348","2019",NA,99.6,NA,"FEMALE"
"30",12,9308,20,8,12,40,1550,1606,23704,"BALLARAT","https://img.wh.sportingpulseinternational.com/bc00a997da83d652e78d97cf74d5be5eS1.png","96.5131","2019",NA,96.5,NA,"FEMALE"
